CODIGO_CARRERA,AVERAGE_CIEN,AVERAGE_M1,AVERAGE_M2,AVERAGE_HCS
11001,43,50,20,42
11003,0,34,0,41
11004,35,38,10,40
11005,36,41,15,37
11011,32,37,13,42
11016,35,33,10,41
11017,37,39,11,41
11020,35,37,13,32
11021,34,35,12,31
11022,46,47,17,38
11024,37,40,15,31
11026,42,52,22,41
11027,45,53,24,42
11028,44,49,20,37
11029,51,48,19,33
11030,57,53,24,44
11031,36,38,15,26
11032,46,44,17,37
11033,53,53,27,34
11034,40,48,23,31
11035,50,47,19,45
11036,33,34,12,25
11037,58,53,24,39
11038,44,43,16,30
11039,59,55,28,42
11040,31,38,14,45
11042,50,56,30,46
11045,60,58,36,42
11055,42,47,19,52
11060,45,42,19,48
11061,30,33,12,39
11062,34,39,15,43
11063,42,36,17,48
11065,35,35,11,39
11068,35,40,17,47
11069,46,47,20,46
11070,35,41,13,46
11072,34,37,14,41
11078,50,50,22,41
11080,53,50,21,38
11081,34,35,12,27
11082,49,47,20,37
11083,70,59,40,44
11084,42,41,15,31
11085,54,50,22,33
11086,56,52,23,40
11087,40,38,13,28
11090,41,43,19,45
11095,58,51,23,36
11097,0,32,0,33
11508,36,36,12,38
11520,33,35,12,40
11521,41,39,15,33
11522,29,30,10,32
11523,32,38,12,36
11524,48,51,23,39
11525,42,48,19,52
11526,27,44,18,49
11527,32,35,12,27
12004,53,55,27,46
12005,35,44,20,43
12006,45,49,20,44
12007,46,42,26,46
12008,43,41,19,45
12009,34,42,12,42
12010,62,55,31,45
12011,55,50,22,42
12012,49,48,16,38
12013,42,44,18,35
12014,55,58,37,49
12015,64,39,45,37
12017,57,53,28,49
12018,31,33,13,38
12019,37,41,20,46
12021,48,53,26,54
12022,39,43,18,45
12024,33,38,15,35
12025,32,37,13,34
12026,37,48,19,44
12027,58,56,31,40
12028,39,47,21,47
12029,49,41,23,37
12030,36,41,14,41
12031,62,58,37,42
12032,58,57,32,45
12033,54,52,21,38
12034,36,41,14,45
12035,34,41,19,49
12037,39,51,21,52
12038,36,45,16,31
12039,66,59,41,45
12041,44,43,16,31
12042,42,39,17,36
12043,45,53,26,36
12044,45,52,22,35
12046,39,49,21,47
12049,43,53,24,36
12050,35,41,13,33
12051,51,56,32,45
12052,46,46,18,37
12054,54,52,22,39
12055,61,55,29,43
12056,58,53,25,42
12057,56,52,23,38
12058,73,59,41,49
12059,41,45,0,45
12060,47,46,19,35
12061,53,51,23,34
12062,38,38,13,34
12070,35,44,17,42
12071,36,43,17,43
12088,35,39,15,38
12089,47,53,26,38
12096,29,31,12,27
12097,25,24,8,23
12100,54,56,30,42
12101,48,49,21,38
13001,44,43,18,41
13002,34,43,18,33
13003,44,54,27,36
13004,38,39,14,31
13006,29,32,11,27
13007,38,39,14,28
13008,30,34,12,28
13009,30,36,12,27
13011,45,47,18,36
13012,45,45,17,35
13013,41,41,14,33
13014,44,42,16,36
13015,51,52,23,40
13016,31,33,10,22
13018,29,32,13,35
13019,34,43,15,34
13020,36,35,13,21
13022,30,37,13,33
13023,31,37,12,46
13024,38,47,17,47
13025,28,32,12,34
13026,32,33,13,37
13027,26,29,15,26
13028,27,32,10,28
13029,34,39,14,44
13030,32,41,15,34
13031,30,36,16,40
13032,27,31,12,28
13035,35,32,14,26
13036,37,39,13,25
13037,35,36,12,29
13039,36,38,17,37
13040,33,35,13,44
13041,32,36,10,37
13042,22,26,8,29
13043,35,37,13,28
13044,31,34,12,25
13046,49,52,24,40
13048,52,50,23,31
13049,57,53,24,38
13050,35,37,12,28
13052,30,29,11,35
13054,27,33,13,37
13055,52,54,28,42
13056,38,42,18,38
13057,34,36,14,32
13058,34,41,14,39
13059,41,34,23,46
13060,34,37,21,38
13061,36,38,15,30
13062,48,51,23,38
13063,37,37,14,27
13064,36,38,15,28
13065,33,43,15,24
13066,59,57,37,48
13067,47,51,19,44
13068,40,47,18,31
13069,42,50,22,30
13070,45,51,23,31
13071,44,50,22,43
13072,51,55,29,38
13073,52,54,30,40
13074,46,51,24,35
13075,40,45,18,28
13076,52,55,27,40
13077,26,31,12,37
13078,29,36,12,27
13079,33,33,12,29
13080,33,44,16,37
13081,53,52,19,34
13082,32,34,12,23
13083,41,44,16,31
13085,32,36,14,26
13086,68,59,35,45
13087,46,47,17,28
13088,47,48,17,31
13089,27,27,10,26
13091,52,51,20,37
13092,28,30,11,29
13093,30,38,11,27
13094,26,37,12,29
13101,29,34,12,26
13102,43,50,21,36
13103,37,39,13,30
13104,34,37,12,28
13105,34,34,13,26
13106,28,31,11,28
13107,38,34,0,35
13108,41,49,20,31
13111,34,43,18,26
14001,31,34,11,29
14002,35,41,15,36
14003,31,36,12,33
14004,27,29,11,32
14005,34,41,14,35
14006,28,39,12,31
14007,28,32,12,34
14008,26,29,11,31
14009,27,28,11,29
14012,40,38,14,33
14013,33,35,13,26
14015,32,35,12,28
14016,28,32,12,28
14018,32,31,14,36
14030,36,42,15,45
14032,30,32,11,29
14033,28,32,11,29
14034,24,28,9,27
14037,29,33,12,33
14038,30,35,12,34
14040,37,42,14,42
14060,38,39,15,31
14061,35,41,15,28
14062,35,40,14,31
14063,40,49,20,36
14064,38,48,18,35
14065,33,40,14,28
14066,30,37,12,28
14067,39,42,16,29
14069,27,31,12,26
14070,28,33,11,23
14071,26,34,12,26
14072,30,34,12,28
14080,33,33,11,25
14081,32,41,15,29
14082,40,41,14,34
14083,32,41,14,27
14085,38,33,12,34
14086,40,37,17,29
14087,33,43,17,29
14088,39,42,23,34
14089,49,50,23,36
14090,38,39,14,33
14091,27,32,12,35
14093,24,35,0,45
14094,36,35,11,38
14095,28,32,14,39
14097,36,39,17,37
14098,34,33,12,37
14099,30,38,14,26
14100,33,40,15,33
14101,33,39,16,28
14103,31,30,13,39
14104,35,40,14,32
14105,27,33,11,30
14106,32,39,14,32
15100,40,49,21,32
15101,49,57,34,37
15102,49,50,25,36
15103,47,50,23,39
15110,31,38,14,25
15111,38,49,20,34
15130,47,51,25,35
15131,45,51,23,36
15140,42,48,22,33
15141,38,44,17,33
15150,47,49,21,34
15151,40,47,19,32
15160,45,52,24,39
15161,33,43,16,36
15170,47,55,27,40
15171,34,43,16,33
15180,36,45,16,33
15181,34,42,14,32
15184,48,51,26,40
15220,38,46,16,36
15270,51,56,29,40
15271,38,47,17,36
15300,49,54,27,37
